State,Sub-Category,Product Name,total_sales,total_profit,avg_discount,unique_orders
Illinois,Binders,GBC ProClick 150 Presentation Binding System,442.372,-729.9138,0.8,1
Arizona,Binders,GBC DocuBind 300 Electric Binding Machine,946.764,-694.2936,0.7,1
Pennsylvania,Storage,Tennsco Single-Tier Lockers,3603.264,-675.612,0.2,2
North Carolina,Tables,Bush Advantage Collection Racetrack Conference Table,1781.682,-653.2834,0.4,1
North Carolina,Tables,Hon Racetrack Conference Tables,2047.578,-648.3996999999999,0.4000000000000001,3
Pennsylvania,Machines,Okidata MB491 Multifunction Printer,449.1,-643.71,0.7,1
Pennsylvania,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,-630.882,0.3,1
Pennsylvania,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,-619.596,0.4,1
Ohio,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),2939.916,-587.9832,0.4,2
North Carolina,Machines,"3D Systems Cube Printer, 2nd Generation, White",1299.99,-571.9956,0.5,1
Pennsylvania,Binders,Fellowes PB200 Plastic Comb Binding Machine,713.9580000000001,-571.1664,0.6999999999999998,3
Illinois,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.625,-566.5625,0.5,1
Pennsylvania,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,399.54,-559.356,0.7,1
New York,Tables,Balt Solid Wood Round Tables,1071.576,-553.6476,0.4,1
Texas,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,2323.3288000000002,-546.6656,0.32,3
California,Tables,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,3339.2,-542.62,0.2,2
Illinois,Tables,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,626.1,-538.446,0.5,1
Texas,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,1652.9304,-534.7716,0.32,2
Illinois,Tables,Hon Rectangular Conference Tables,796.425,-525.6405,0.5,1
Oregon,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,290.352,-512.9552,0.7,2
Texas,Binders,Fellowes PB300 Plastic Comb Binding Machine,310.392,-512.1468,0.8,1
Pennsylvania,Machines,Lexmark MarkNet N8150 Wireless Print Server,723.51,-506.457,0.7,2
Texas,Chairs,HON 5400 Series Task Chairs for Big and Tall,3434.8019999999997,-490.68600000000004,0.3,2
Pennsylvania,Tables,"Bevis Oval Conference Table, Walnut",1252.704,-480.2032,0.4,1
Arizona,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,599.985,-479.988,0.7,1
Illinois,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,180.98,-470.548,0.8,1
New York,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,-466.631,0.4,2
Colorado,Tables,Hon 5100 Series Wood Tables,727.45,-465.568,0.5,1
Ohio,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1548.99,-464.697,0.4,1
Pennsylvania,Binders,GBC DocuBind 300 Electric Binding Machine,631.176,-462.8624,0.7,1
New York,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1322.352,-462.8232,0.4,2
Arizona,Binders,Ibico Ibimaster 300 Manual Binding System,551.985,-459.9875,0.7,1
Florida,Tables,Bretford CR4500 Series Slim Rectangular Table,1149.093,-459.6372,0.45,2
Florida,Tables,Bush Advantage Collection Racetrack Conference Table,933.262,-458.1468,0.45,1
Texas,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,-453.849,0.8,1
Arizona,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",801.6,-448.896,0.5,1
New York,Tables,Bretford Rectangular Conference Table Tops,1579.746,-447.5947,0.4,1
Illinois,Tables,"Bevis Oval Conference Table, Walnut",652.45,-430.617,0.5,1
New York,Tables,Chromcraft Round Conference Tables,1359.462,-430.49629999999996,0.4000000000000001,3
Texas,Furnishings,Tenex Antistatic Computer Chair Mats,341.96,-427.45,0.6,1
Texas,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",405.812,-426.1026,0.6,2
Ohio,Phones,Apple iPhone 5,1949.49,-422.3895,0.4,2
Florida,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,721.875,-420.0,0.45,1
Texas,Binders,GBC ProClick 150 Presentation Binding System,252.784,-417.0936,0.8,1
Pennsylvania,Binders,GBC DocuBind TL300 Electric Binding System,538.194,-412.6154,0.7,1
Arizona,Tables,Bevis Boat-Shaped Conference Table,786.33,-408.8916,0.5,2
Illinois,Tables,Bevis 44 x 96 Conference Tables,617.7,-407.682,0.5,1
Illinois,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,143.128,-393.602,0.8,1
Arizona,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,269.97,-386.957,0.7,1
Pennsylvania,Phones,Samsung Galaxy Note 2,1931.958,-386.3916,0.4,1
Ohio,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,-383.9904,0.7,1
Texas,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",302.72,-378.4,0.6,1
Ohio,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",482.94,-376.6932,0.5,1
Pennsylvania,Phones,LG G2,1499.97,-374.9925,0.4,1
Texas,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",145.896,-364.74,0.8,2
Colorado,Bookcases,Hon 4-Shelf Metal Bookcases,242.352,-363.528,0.7,1
Pennsylvania,Storage,"SAFCO Commercial Wire Shelving, Black",1436.656,-359.164,0.20000000000000004,3
Arizona,Bookcases,Bestar Classic Bookcase,209.979,-356.9643,0.7,1
Illinois,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,-356.728,0.6,1
Colorado,Tables,Bevis Rectangular Conference Tables,510.92999999999995,-347.43240000000003,0.5,2
Pennsylvania,Tables,"Iceberg OfficeWorks 42"" Round Tables",815.292,-339.705,0.4,1
Florida,Storage,Tennsco Single-Tier Lockers,1801.632,-337.806,0.2,1
Florida,Binders,GBC DocuBind 200 Manual Binding Machine,505.176,-336.784,0.7,1
Texas,Binders,GBC DocuBind 300 Electric Binding Machine,210.392,-336.6272,0.8,1
Florida,Binders,GBC DocuBind P100 Manual Binding Machine,398.352,-331.96,0.7,1
Arizona,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,-320.597,0.7,1
Pennsylvania,Machines,"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",341.991,-319.1916,0.7,1
Texas,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,-317.1528,0.32,1
Illinois,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,254.744,-312.0614,0.6,1
Illinois,Tables,BPI Conference Tables,511.175,-306.705,0.5,2
Oregon,Tables,Bretford Rectangular Conference Table Tops,564.195,-304.6653,0.5,1
Ohio,Binders,GBC Ibimaster 500 Manual ProClick Binding System,456.588,-304.392,0.7,1
Illinois,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",242.176,-302.72,0.6,1
Illinois,Tables,Bretford CR8500 Series Meeting Room Furniture,601.47,-300.735,0.5,1
Colorado,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1332.496,-299.8116,0.2,1
Massachusetts,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,-297.6848,0.3,1
New York,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,-295.9785,0.4,1
California,Tables,Hon 94000 Series Round Tables,2132.496,-293.2182,0.2,2
Illinois,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",266.352,-292.9872,0.6,1
North Carolina,Tables,BPI Conference Tables,876.3,-292.1,0.4,1
New York,Tables,"Bevis Round Bullnose 29"" High Table Top",1090.782,-290.8752,0.4,1
Ohio,Tables,Riverside Furniture Stanwyck Manor Table Series,516.33,-283.9815,0.4,2
Texas,Storage,SAFCO Boltless Steel Shelving,1181.856,-280.69079999999997,0.2,2
Texas,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,1398.39,-279.678,0.4,2
Pennsylvania,Phones,Wilson Electronics DB Pro Signal Booster,1288.8000000000002,-279.24,0.4,2
Tennessee,Machines,Okidata C610n Printer,649.0,-272.58,0.5,1
Illinois,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",480.96,-269.3376,0.5,1
Oregon,Tables,"Iceberg OfficeWorks 42"" Round Tables",377.45,-264.215,0.5,1
Texas,Machines,Bady BDG101FRU Card Printer,1439.982,-263.9967,0.4,1
California,Tables,Hon 2111 Invitation Series Corner Table,1507.464,-263.8062,0.2,2
Texas,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",197.988,-262.3341,0.6,2
Pennsylvania,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,786.744,-258.5016,0.3,1
Ohio,Phones,Cisco Unified IP Phone 7945G VoIP phone,1022.97,-255.7425,0.4,1
Florida,Tables,BPI Conference Tables,562.2925,-255.5875,0.45,1
Texas,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,-251.9958,0.4,1
Oregon,Machines,Okidata B401 Printer,179.991,-251.9874,0.7,1
Texas,Appliances,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,93.032,-251.1864,0.8,1
Pennsylvania,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",521.96,-250.5408,0.5,1
Ohio,Phones,Samsung Galaxy S4,1502.376,-250.396,0.4,1
Tennessee,Tables,"Bevis Round Bullnose 29"" High Table Top",934.956,-249.3216,0.4,1
Florida,Tables,Bretford Rectangular Conference Table Tops,620.6145,-248.2458,0.45,1
Colorado,Bookcases,Sauder Barrister Bookcases,145.764,-247.7988,0.7,1
Ohio,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,-244.323,0.5,1
Texas,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,96.576,-241.44,0.8,2
Ohio,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,301.47,-241.176,0.5,1
Colorado,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",180.588,-240.784,0.7,1
New York,Tables,"Bevis Oval Conference Table, Walnut",626.352,-240.1016,0.4,2
Illinois,Chairs,"Global High-Back Leather Tilter, Burgundy",860.93,-233.68099999999998,0.3,2
Ohio,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",661.176,-231.4116,0.4,1
Pennsylvania,Binders,Ibico Hi-Tech Manual Binding System,274.491,-228.7425,0.7,1
Pennsylvania,Tables,Chromcraft Rectangular Conference Tables,853.092,-227.4912,0.4,1
Texas,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,87.168,-226.6368,0.8,1
Illinois,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,92.064,-225.5568,0.8,1
Pennsylvania,Phones,LG Exalt,1029.5339999999999,-223.0657,0.4,2
New York,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,1767.84,-220.98,0.2,4
Texas,Tables,Bretford CR4500 Series Slim Rectangular Table,2193.723,-219.3723,0.3,2
California,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,1348.704,-219.1644,0.2,1
Arizona,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",455.97,-218.8656,0.5,1
Pennsylvania,Bookcases,Bestar Classic Bookcase,349.965,-216.9783,0.5,1
New York,Tables,Hon 2111 Invitation Series Corner Table,376.866,-213.5574,0.4,1
Pennsylvania,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",352.45,-211.47,0.5,1
Illinois,Tables,"Bevis Round Conference Table Top, X-Base",268.935,-209.7693,0.5,1
Pennsylvania,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,301.47,-204.9996,0.5,1
Florida,Supplies,Premier Automatic Letter Opener,961.48,-204.3145,0.2,1
Texas,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",827.918,-201.0658,0.3,3
Ohio,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,-199.617,0.5,1
Texas,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",1067.4650000000001,-198.24349999999998,0.3,2
Illinois,Appliances,Euro Pro Shark Stick Mini Vacuum,73.176,-197.5752,0.8,1
Illinois,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,159.04,-194.824,0.6,1
Pennsylvania,Phones,Mitel MiVoice 5330e IP Phone,824.97,-192.493,0.4,2
North Carolina,Tables,Hon 5100 Series Wood Tables,523.764,-192.0468,0.4,1
Pennsylvania,Tables,Hon 5100 Series Wood Tables,523.764,-192.0468,0.4,1
Arizona,Bookcases,"Hon Metal Bookcases, Black",127.764,-191.646,0.7,1
Illinois,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,70.97,-191.619,0.8,1
Colorado,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,0.7,1
Texas,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,615.332,-190.029,0.32,2
Pennsylvania,Phones,Polycom SoundPoint IP 450 VoIP phone,813.096,-189.7224,0.4,2
Oregon,Tables,Balt Split Level Computer Training Table,277.5,-188.7,0.5,1
Illinois,Binders,Catalog Binders with Expanding Posts,107.648,-188.38400000000001,0.8,2
Texas,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,73.164,-186.5682,0.8,1
Arizona,Tables,KI Adjustable-Height Table,386.91,-185.7168,0.5,1
Illinois,Tables,Chromcraft Rectangular Conference Tables,355.455,-184.8366,0.5,1
Colorado,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,102.018,-183.6324,0.7,1
Florida,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,1123.92,-182.637,0.2,1
Illinois,Furnishings,"Eldon ""L"" Workstation Diamond Chairmat",151.96,-182.352,0.6,1
Pennsylvania,Phones,Nortel Meridian M5316 Digital phone,776.85,-181.265,0.4,1
Texas,Appliances,Fellowes Command Center 5-outlet power strip,67.84,-179.776,0.8,1
Texas,Appliances,Eureka Sanitaire  Commercial Upright,66.284,-178.9668,0.8,1
Illinois,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,569.058,-178.8468,0.3,1
Texas,Chairs,Office Star Flex Back Scooter Chair with White Frame,776.86,-177.568,0.3,3
Texas,Appliances,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,69.616,-177.5208,0.8000000000000002,3
California,Tables,"Bevis Round Conference Table Top, X-Base",1577.752,-177.4971,0.2,2
Texas,Tables,"Bevis Traditional Conference Table Top, Plinth Base",933.408,-173.3472,0.3,1
Illinois,Binders,Avery Arch Ring Binders,104.58,-172.557,0.8,1
Pennsylvania,Machines,Epson Perfection V600 Photo Scanner,206.991,-172.4925,0.7,1
Texas,Chairs,Novimex Swivel Fabric Task Chair,634.116,-172.11720000000003,0.3,2
Illinois,Chairs,Novimex Swivel Fabric Task Chair,634.116,-172.1172,0.3,1
Pennsylvania,Furnishings,Tenex Antistatic Computer Chair Mats,1367.84,-170.98,0.20000000000000004,3
Oregon,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",275.49,-170.8038,0.5,1
Texas,Tables,"Bevis Oval Conference Table, Walnut",913.43,-169.637,0.3,1
Florida,Binders,GBC VeloBinder Electric Binding Machine,254.058,-169.372,0.7,1
Texas,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",132.224,-168.5856,0.6,2
Ohio,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",299.975,-167.986,0.5,1
Florida,Tables,Chromcraft Round Conference Tables,383.438,-167.3184,0.45,1
Oregon,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,669.08,-167.27,0.2,1
Texas,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",62.79,-166.3935,0.8,1
Illinois,Appliances,Harmony Air Purifier,75.6,-166.32,0.8,1
Ohio,Machines,Cisco 8961 IP Phone Charcoal,224.937,-164.9538,0.7,1
Pennsylvania,Supplies,Premier Automatic Letter Opener,769.184,-163.4516,0.2,1
Colorado,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,-161.875,0.5,1
Oregon,Storage,Fellowes Officeware Wire Shelving,718.64,-161.694,0.2,1
Texas,Tables,Laminate Occasional Tables,863.128,-160.2952,0.3,1
Pennsylvania,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,728.946,-157.9383,0.4,1
California,Chairs,"Global Geo Office Task Chair, Gray",842.192,-157.911,0.20000000000000004,3
Florida,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,-157.0095,0.45,1
Ohio,Tables,Hon Rectangular Conference Tables,409.59000000000003,-157.0095,0.4,2
New York,Tables,"Bevis Traditional Conference Table Top, Plinth Base",400.032,-153.3456,0.4,1
New York,Tables,KI Conference Tables,382.806,-153.1224,0.4,1
Colorado,Bookcases,Bestar Classic Bookcase,89.991,-152.9847,0.7,1
Texas,Tables,Bush Advantage Collection Racetrack Conference Table,890.841,-152.7156,0.3,1
Arizona,Storage,SAFCO Boltless Steel Shelving,636.384,-151.1412,0.2,2
Texas,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",139.92,-150.414,0.6,1
Texas,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,58.29599999999999,-148.6548,0.8,2
Texas,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",82.572,-148.6296,0.8,2
Texas,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.963,0.6,1
Ohio,Tables,"Lesro Round Back Collection Coffee Table, End Table",328.59,-147.8655,0.4,1
Tennessee,Tables,"Lesro Round Back Collection Coffee Table, End Table",328.59,-147.8655,0.4,1
Illinois,Appliances,Belkin F9S820V06 8 Outlet Surge,58.464,-146.16,0.8,1
Arizona,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,899.136,-146.1096,0.2,1
Ohio,Storage,Fellowes Officeware Wire Shelving,646.776,-145.5246,0.2,1
North Carolina,Binders,GBC ProClick 150 Presentation Binding System,189.588,-145.3508,0.7,1
Illinois,Binders,GBC VeloBinder Electric Binding Machine,96.784,-145.176,0.8,1
Texas,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",90.15599999999999,-144.2496,0.8000000000000002,3
California,Chairs,"Global High-Back Leather Tilter, Burgundy",1279.096,-143.8983,0.2,2
Colorado,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",69.576,-143.7904,0.7,1
Ohio,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,330.588,-143.2548,0.4,1
Tennessee,Tables,Bevis 44 x 96 Conference Tables,370.62,-142.071,0.4,1
Pennsylvania,Chairs,"Global High-Back Leather Tilter, Burgundy",516.558,-140.2086,0.3,2
Pennsylvania,Tables,Bevis Rectangular Conference Tables,350.352,-140.1408,0.4,1
Pennsylvania,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",573.174,-139.1994,0.3,2
California,Chairs,Novimex High-Tech Fabric Mesh Task Chair,851.76,-138.411,0.20000000000000004,3
Ohio,Storage,"SAFCO Commercial Wire Shelving, Black",552.56,-138.14,0.2,2
Illinois,Storage,"SAFCO Commercial Wire Shelving, Black",552.56,-138.14,0.2,2
Texas,Bookcases,Sauder Camden County Collection Library,781.864,-137.976,0.32,1
Ohio,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",458.43,-137.529,0.3,1
Texas,Chairs,High-Back Leather Manager's Chair,454.965,-136.4895,0.3,1
Texas,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",712.5312,-136.2192,0.32,2
Texas,Storage,Space Solutions Commercial Steel Shelving,724.08,-135.765,0.2,1
Arizona,Tables,"Lesro Round Back Collection Coffee Table, End Table",182.55,-135.087,0.5,1
Pennsylvania,Phones,Samsung Galaxy Note 3,791.964,-131.994,0.4,1
Texas,Tables,Riverside Furniture Stanwyck Manor Table Series,401.59,-131.951,0.3,1
Texas,Appliances,Euro Pro Shark Stick Mini Vacuum,48.784,-131.7168,0.8,1
California,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,657.504,-131.5008,0.2,1
Illinois,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,-131.12,0.8,1
Texas,Tables,Hon 2111 Invitation Series Straight Table,827.848,-130.0904,0.3,3
Massachusetts,Tables,"Bevis Traditional Conference Table Top, Plinth Base",700.056,-130.0104,0.3,1
Florida,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",943.056,-129.6702,0.2,2
Rhode Island,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,-127.5792,0.3,1
Texas,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,-127.5792,0.3,1
Texas,Storage,Safco Industrial Wire Shelving System,509.488,-127.372,0.2,1
Illinois,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,48.792,-126.8592,0.8,1
Pennsylvania,Chairs,Global Comet Stacking Arm Chair,1774.542,-126.753,0.3,2
Illinois,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,384.944,-126.4816,0.3,1
Tennessee,Storage,Tennsco Double-Tier Lockers,1440.128,-126.0112,0.2,2
Texas,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",670.752,-125.766,0.2,1
Pennsylvania,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,458.43,-124.431,0.3,1
Pennsylvania,Phones,ClearOne CHATAttach 160 - speaker phone,743.988,-123.998,0.4,1
Ohio,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",409.59,-122.877,0.4,1
New York,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.908,-122.7816,0.4,1
Texas,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,559.71,-121.2705,0.4,1
Illinois,Tables,KI Conference Tables,177.225,-120.513,0.5,1
Oregon,Tables,KI Conference Tables,177.225,-120.513,0.5,1
Illinois,Tables,KI Adjustable-Height Table,214.95,-120.372,0.5,1
New York,Tables,Bretford CR8500 Series Meeting Room Furniture,481.176,-120.294,0.4,1
Texas,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,379.372,-119.2312,0.3,1
Texas,Tables,Bevis Round Conference Table Top & Single Column Base,921.942,-118.53540000000001,0.3,3
Texas,Tables,Hon Racetrack Conference Tables,918.785,-118.1295,0.3,1
Pennsylvania,Tables,Global Adaptabilities Conference Tables,337.176,-118.0116,0.4,1
Illinois,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,-117.882,0.3,1
Pennsylvania,Phones,Polycom CX600 IP Phone VoIP phone,539.91,-116.9805,0.4,1
Ohio,Binders,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",166.92,-116.844,0.7,1
Tennessee,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,-115.7156,0.7,1
New York,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",384.768,-115.4304,0.4,1
Pennsylvania,Phones,GE 2-Jack Phone Line Splitter,494.376,-115.3544,0.4,1
California,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,1953.827,-114.931,0.15,6
Tennessee,Chairs,High-Back Leather Manager's Chair,831.936,-114.3912,0.2,1
Florida,Tables,KI Adjustable-Height Table,331.023,-114.3534,0.45,1
Pennsylvania,Phones,Apple iPhone 5S,683.988,-113.998,0.4,1
New York,Tables,Chromcraft Rectangular Conference Tables,426.54599999999994,-113.7456,0.4,2
